order_p_0,order_r_0,order_d_0,order_p_1,order_r_1,order_d_1,t_relaxation,propagated_info,v,ℓ,R,K,δ,s,n,label
1.692173695130459e-10,4.4408920985006264e-17,9.714451465470119e-18,1.0,2.396048498498615e-11,6.172473643317744e-12,1.2,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6830096390041747e-10,1.0,3.0823648323086138e-18,0.9999999999999999,2.354580558305841e-11,6.065653535003435e-12,4.000000000000002,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
0.9999999999999999,1.6022725785047597e-10,4.9960036108132046e-17,0.9999999999999999,2.4148344435204196e-11,6.220862713846032e-12,8.199999999999987,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
2.2204460492503132e-17,1.6653345369377347e-17,2.7755575615628914e-17,0.9999999999999999,2.352343181355465e-11,-6.059869273045137e-12,7.099999999999991,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6982099186969317e-10,5.551115123125783e-17,-1.1102230246251566e-17,1.0,2.4120019870288446e-11,-6.2135407929986284e-12,3.800000000000002,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6952067377184757e-10,4.9960036108132046e-17,4.718447854656915e-17,0.9999999999999999,2.3563309636820405e-11,6.070149938253167e-12,0.4,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6827682390513145e-10,4.9960036108132046e-17,3.3306690738754695e-17,0.9999999999999999,2.386230518736099e-11,6.147188313931906e-12,3.600000000000002,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6912406971384068e-10,1.0,7.426832160067592e-19,0.9999999999999999,2.3719781694353513e-11,-6.1104454829319366e-12,2.700000000000001,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6932884500448432e-10,4.4408920985006264e-17,0.0,1.0,2.3825878769923037e-11,6.137806929373823e-12,3.5000000000000018,0.9999999999999998,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.6100246691408416e-10,3.8857805861880476e-17,0.9999999999999999,2.3618022815252714e-11,-6.084233117320537e-12,1.3,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.61039204193969e-10,-3.3306690738754695e-17,0.9999999999999999,2.4075466620310237e-11,-6.202066638039128e-12,1.8000000000000005,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.6003853242629872e-10,-3.3306690738754695e-17,0.9999999999999999,2.414954070051323e-11,6.221173576292926e-12,4.999999999999998,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.6122930213136044e-10,6.106226635438361e-17,0.9999999999999998,2.4040346102705e-11,-6.193034973733802e-12,1.9000000000000006,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.6826439753600155e-10,4.4408920985006264e-17,-2.7755575615628914e-17,0.7669723304389453,0.04550468369844749,-0.16640620308333592,3.4000000000000017,0.7669683121013919,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
0.9999999999999999,1.6022626142531138e-10,-2.2204460492503132e-17,1.0,2.3682103500455297e-11,-6.1007310314664664e-12,0.0,0.9999999999999999,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
1.0,1.611116740019014e-10,-2.2204460492503132e-17,0.9999999999999999,2.3899342227462485e-11,-6.156691823022698e-12,1.3,1.0,0.0,0.4,1.0,0.36787944117144233,0.0,0.8,20,uniform_circle_divergence_perturbation
